medcode,readcode,readterm,cat
42313,679V.00,Health education - chronic obstructive pulmonary disease,Chronic pulmonary disease
42331,G603.00,Subarachnoid haemorrhage from anterior communicating artery,Other neurological disorders
42335,L440.00,Cerebrovascular disorders in the puerperium,Other neurological disorders
42396,A941.11,General paralysis of insane,Paralysis
42405,N045000,Juvenile ankylosing spondylitis,Rheumatoid arthritis and collagen diseases
42416,B105.00,Malignant neoplasm of lower third of oesophagus,Solid tumour or leukaemia
42426,B511.00,Malignant neoplasm of frontal lobe,Solid tumour or leukaemia
42429,B33X.00,Malignant neoplasm overlapping lesion of skin,Solid tumour or leukaemia
42439,C391211,Thrombocytopenic eczema with immunodeficiency,Coagulopathy
42444,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,Peripheral vascular disease
42456,Eu11000,[X]Mental & behav dis due to use opioids: acute intoxication,Drug abuse
42460,B543.00,Malignant neoplasm of pineal gland,Solid tumour or leukaemia
42461,B61zz00,Hodgkin's disease NOS,Lymphoma
42488,7936z00,Cardiac pacemaker system introduced via vein NOS,Cardiac arrythmia
42497,P100.00,Unspecified spina bifida with hydrocephalus,Other neurological disorders
42505,C101z00,Diabetes mellitus NOS with ketoacidosis,Diabetes (uncomplicated)
42542,BB9K.00,[M]Paget's disease and infiltrating breast duct carcinoma,Solid tumour or leukaemia
42553,BBB3.00,[M]Adenocarcinoma with cartilaginous and osseous metaplasia,Solid tumour or leukaemia
42566,B224z00,"Malignant neoplasm of lower lobe, bronchus or lung NOS",Solid tumour or leukaemia
42567,C103000,"Diabetes mellitus, juvenile type, with ketoacidotic coma",Diabetes (uncomplicated)
42569,B2zz.00,Malignant neoplasm of respiratory tract NOS,Solid tumour or leukaemia
42579,B62y300,Malignant lymphoma NOS of intra-abdominal lymph nodes,Lymphoma
42602,E001000,Uncomplicated presenile dementia,Other neurological disorders
42640,7A48y00,Other bypass of femoral artery or popliteal artery OS,Peripheral vascular disease
42649,8BAc.00,Substance misuse management stopped - self withdrawal,Drug abuse
42664,D311z00,Qualitative platelet deficiency NOS,Coagulopathy
42707,B336100,Malignant neoplasm of skin of upper arm,Solid tumour or leukaemia
42714,B327500,Malignant melanoma of ankle,Solid tumour or leukaemia
42719,N000z00,Systemic lupus erythematosus NOS,Rheumatoid arthritis and collagen diseases
42729,C108E11,Type I diabetes mellitus with hypoglycaemic coma,Diabetes (uncomplicated)
42751,7A16z00,Other bypass of segment of aorta NOS,Peripheral vascular disease
42762,C109612,Type 2 diabetes mellitus with retinopathy,Diabetes with end-organ damage
42769,BBjz.00,[M]Hodgkin's disease NOS,Lymphoma
42803,G567z00,Anomalous atrioventricular excitation NOS,Cardiac arrythmia
42824,663q.00,Asthma daytime symptoms,Chronic pulmonary disease
42831,C10E200,Type 1 diabetes mellitus with neurological complications,Diabetes with end-organ damage
42843,J61y.00,Other non-alcoholic chronic liver disease,Liver disease
42856,B200z00,Malignant neoplasm of nasal cavities NOS,Solid tumour or leukaemia
42901,G411.00,Kyphoscoliotic heart disease,Pulmonary circulation disorders
42923,E243100,"Cannabis dependence, continuous",Drug abuse
42931,9HA0.00,On depression register,Depression
42940,H57y100,Lung disease with polymyositis,Chronic pulmonary disease
43001,9N4h.00,DNA - Did not attend peripheral vascular disease clinic,Peripheral vascular disease
43075,E240100,Continuous opioid dependence,Drug abuse
43087,B331.00,Malignant neoplasm of eyelid including canthus,Solid tumour or leukaemia
43089,E004000,Uncomplicated arteriosclerotic dementia,Other neurological disorders
43093,E110300,"Single manic episode, severe without mention of psychosis",Psychoses
43108,7A14.00,Other replacement of aneurysmal segment of aorta,Peripheral vascular disease
43111,B213.00,Malignant neoplasm of laryngeal cartilage,Solid tumour or leukaemia
43122,B336000,Malignant neoplasm of skin of shoulder,Solid tumour or leukaemia
43139,C102100,"Diabetes mellitus, adult onset, with hyperosmolar coma",Diabetes (uncomplicated)
43151,Byu3300,"[X]Malignant neoplasm/bone+articular cartilage, unspecified",Solid tumour or leukaemia
43193,E231000,Unspecified chronic alcoholism,Alcohol abuse
43200,B06z.00,Malignant neoplasm of oropharynx NOS,Solid tumour or leukaemia
43225,E14..00,Psychoses with origin in childhood,Psychoses
43227,C10F311,Type II diabetes mellitus with multiple complications,Diabetes with end-organ damage
43232,666B.00,Multiple sclerosis multidisciplinary review,Other neurological disorders
43285,H48..00,Progressive massive fibrosis,Chronic pulmonary disease
43292,E004300,Arteriosclerotic dementia with depression,Depression
43311,ZV10212,[V]Personal history of malignant neoplasm of larynx,Solid tumour or leukaemia
43324,E112500,"Single major depressive episode, partial or unspec remission",Depression
43346,Eu00113,"[X]Primary degen dementia of Alzheimer's type, senile onset",Other neurological disorders
43373,D300.11,Antihaemophilic globulin deficiency,Coagulopathy
43380,B81y600,Carcinoma in situ of maxillary sinus,Solid tumour or leukaemia
43390,B12z.00,Malignant neoplasm of small intestine NOS,Solid tumour or leukaemia
43392,B483.00,"Malignant neoplasm of penis, part unspecified",Solid tumour or leukaemia
43400,B03..00,Malignant neoplasm of gum,Solid tumour or leukaemia
43404,7609300,Local ligation of oesophageal varices,Liver disease
43405,Eu20100,[X]Hebephrenic schizophrenia,Psychoses
43415,ByuD000,[X]Other Hodgkin's disease,Lymphoma
43417,H4y2100,Chronic drug-induced interstitial lung disorders,Chronic pulmonary disease
43431,B010.00,Malignant neoplasm of base of tongue,Solid tumour or leukaemia
43435,B41yz00,Malignant neoplasm of other site of cervix NOS,Solid tumour or leukaemia
43451,G682.00,Sequelae of other nontraumatic intracranial haemorrhage,Other neurological disorders
43453,C10C.00,Diabetes mellitus autosomal dominant,Diabetes (uncomplicated)
43462,1BH0.00,Delusion of persecution,Psychoses
43463,B325700,Malignant melanoma of back,Solid tumour or leukaemia
43479,B121.00,Malignant neoplasm of jejunum,Solid tumour or leukaemia
43490,Byu1100,[X]Other specified carcinomas of liver,Solid tumour or leukaemia
43492,7931000,Inspection of valve of heart,Valvular disease
43537,43j7.00,HIV 1 nucleic acid detection,HIV/AIDS
43548,B080.00,Malignant neoplasm of postcricoid region,Solid tumour or leukaemia
43552,B630.11,Kahler's disease,Lymphoma
43572,B114.00,Malignant neoplasm of body of stomach,Solid tumour or leukaemia
43583,F21y.00,Other specified central nervous system demyelinating disease,Other neurological disorders
43594,BB5Cz00,[M]Gastrinoma or carcinoma NOS,Solid tumour or leukaemia
43611,K0A4.00,Isolated proteinuria with specified morphological lesion,Renal disease
43614,B30X.00,"Malignant neoplasm/bones+articular cartilage/limb,unspfd",Solid tumour or leukaemia
43618,G581.12,Pulmonary oedema - acute,Congestive heart failure
43619,B334100,Malignant neoplasm of skin of neck,Solid tumour or leukaemia
43631,M210.11,Addison's keloid,Rheumatoid arthritis and collagen diseases
43642,B011.00,Malignant neoplasm of dorsal surface of tongue,Solid tumour or leukaemia
43679,Eu80300,[X]Acquired aphasia with epilepsy [Landau - Kleffner],Other neurological disorders
43715,B325600,Malignant melanoma of umbilicus,Solid tumour or leukaemia
43717,BB24.11,[M]Verrucous epidermoid carcinoma,Solid tumour or leukaemia
43761,B451.00,Malignant neoplasm of labia majora,Solid tumour or leukaemia
43770,13Y4.00,Asthma society member,Chronic pulmonary disease
43778,7911000,Allograft replacement of aortic valve,Valvular disease
43781,B011z00,Malignant neoplasm of dorsum of tongue NOS,Solid tumour or leukaemia
43785,C109D00,Non-insulin dependent diabetes mellitus with hypoglyca coma,Diabetes (uncomplicated)
43796,ZV12100,[V]Personal history of nutritional deficiency,Weight loss
43800,E107200,Chronic schizo-affective schizophrenia,Psychoses
43816,G5yA.00,Rheumatoid carditis,Rheumatoid arthritis and collagen diseases
43824,D307211,Acquired prothrombin deficiency,Coagulopathy
43855,G542z00,Tricuspid valve disorders NOS,Valvular disease
43857,C10M.00,Lipoatrophic diabetes mellitus,Diabetes with end-organ damage
43860,7936900,Implantation of intravenous atrial overdrive pacemaker,Cardiac arrythmia
43921,C10E400,Unstable type 1 diabetes mellitus,Diabetes (uncomplicated)
43923,7913000,Allograft replacement of pulmonary valve,Valvular disease
43930,B582000,Secondary malignant neoplasm of skin of head,Metastatic cancer
43935,G221.00,Benign hypertensive renal disease,Hypertension with end-organ damage
43940,B431.00,Malignant neoplasm of isthmus of uterine body,Solid tumour or leukaemia
43951,66AK.00,Diabetic - cooperative patient,Diabetes (uncomplicated)
44015,H4y2.00,Drug-induced interstitial lung disorders,Chronic pulmonary disease
44026,N10y.00,Other inflammatory spondylopathies,Rheumatoid arthritis and collagen diseases
44033,F345000,Diabetic mononeuritis multiplex,Diabetes with end-organ damage
44055,K03yz00,Other nephritis and nephrosis NOS,Renal disease
44061,BBEQ.00,[M]Spindle cell melanoma NOS,Solid tumour or leukaemia
44073,J121400,Chronic duodenal ulcer with obstruction,Peptic ulcer disease
44074,BB84.00,[M]Mucin-producing adenocarcinoma,Solid tumour or leukaemia
44085,G742.00,Embolism and thrombosis of an arm or leg artery,Peripheral vascular disease
44089,B517.00,Malignant neoplasm of brain stem,Solid tumour or leukaemia
44095,F371000,Polyneuropathy in disseminated lupus erythematosus,Rheumatoid arthritis and collagen diseases
44096,G56z.00,Conduction disorders unspecified,Cardiac arrythmia
44108,B18..00,Malignant neoplasm of retroperitoneum and peritoneum,Solid tumour or leukaemia
44120,J635600,Toxic liver disease with fibrosis and cirrhosis of liver,Liver disease
44139,B073.00,Malignant neoplasm of anterior wall of nasopharynx,Solid tumour or leukaemia
44141,N001000,Progressive systemic sclerosis,Rheumatoid arthritis and collagen diseases
44157,BBE1.13,[M]Melanosarcoma NOS,Solid tumour or leukaemia
44166,B80z.00,Carcinoma in situ of other and unspecified digestive organs,Solid tumour or leukaemia
44167,G141.00,Rheumatic pulmonary valve disease,Valvular disease
44169,B222z00,"Malignant neoplasm of upper lobe, bronchus or lung NOS",Solid tumour or leukaemia
44192,L431.00,Amniotic fluid pulmonary embolism,Pulmonary circulation disorders
44196,B611.00,Hodgkin's granuloma,Lymphoma
44203,N040100,Other rheumatoid arthritis of spine,Rheumatoid arthritis and collagen diseases
44228,B801z00,Carcinoma in situ of oesophagus NOS,Solid tumour or leukaemia
44250,7A41000,Emerg bypass iliac art by iliac/femoral art anastomosis NEC,Peripheral vascular disease
44252,F250z00,Generalised nonconvulsive epilepsy NOS,Other neurological disorders
44260,C108F00,Insulin dependent diabetes mellitus with diabetic cataract,Diabetes with end-organ damage
44267,B623.00,Malignant histiocytosis,Lymphoma
44270,K0A5200,"Hereditry nephropathy NEC,difus membran glomerulnephritis",Renal disease
44284,J11yz00,Unspecified gastric ulcer NOS,Peptic ulcer disease
44288,R109.00,[D]Laboratory evidence of human immunodeficiency virus [HIV],HIV/AIDS
44300,Eu33z00,"[X]Recurrent depressive disorder, unspecified",Depression
44303,A789.00,Human immunodef virus resulting in other disease,HIV/AIDS
44307,Eu23300,[X]Other acute predominantly delusional psychotic disorders,Psychoses
44309,J111z00,Chronic gastric ulcer NOS,Peptic ulcer disease
44312,9M10.00,Informed dissent for diabetes national audit,Diabetes (uncomplicated)
44318,B62xX00,Oth and unspecif peripheral & cutaneous T-cell lymphomas,Lymphoma
44324,J110z00,Acute gastric ulcer NOS,Peptic ulcer disease
44328,G112.13,Mitral stenosis with regurgitation,Valvular disease
44335,J120000,Acute duodenal ulcer without mention of complication,Peptic ulcer disease
44350,U60C51A,[X] Adverse reaction to antihypertensives NOS,Hypertension (uncomplicated)
44356,B2z..00,Malig neop other/ill-defined sites resp/intrathoracic organs,Solid tumour or leukaemia
44399,B150z00,Primary malignant neoplasm of liver NOS,Solid tumour or leukaemia
44404,L43z400,Obstetric pulmonary embolism NOS with postnatal complication,Pulmonary circulation disorders
44421,ZV67A00,[V]Folow-up exam aft other treatment for malignant neoplasm,Solid tumour or leukaemia
44422,14V2.11,H/O: kidney dialysis,Renal disease
44424,G852.00,Oesophageal varices in diseases EC,Liver disease
44425,H501200,Pleural empyema,Chronic pulmonary disease
44430,7A42111,Endarterectomy of common iliac artery NEC,Peripheral vascular disease
44439,7A46.14,Other replacement of aneurysmal popliteal artery,Peripheral vascular disease
44440,C108E00,Insulin dependent diabetes mellitus with hypoglycaemic coma,Diabetes (uncomplicated)
44443,C108500,Insulin dependent diabetes mellitus with ulcer,Diabetes with end-organ damage
44452,B300C00,Malignant neoplasm of vomer,Solid tumour or leukaemia
44478,P60z.00,Other pulmonary valve anomalies,Valvular disease
44488,G112.00,Mitral stenosis with insufficiency,Valvular disease
44498,E100400,Acute exacerbation of chronic schizophrenia,Psychoses
44503,Eu23y00,[X]Other acute and transient psychotic disorders,Psychoses
44513,Eu30z00,"[X]Manic episode, unspecified",Psychoses
44525,H312z00,Obstructive chronic bronchitis NOS,Chronic pulmonary disease
44528,SP12z00,Peripheral vascular complications of care NOS,Peripheral vascular disease
44529,B575.00,Secondary malignant neoplasm of large intestine and rectum,Metastatic cancer
44592,F11xz00,Cerebral degeneration other disease NOS,Other neurological disorders
44609,B306000,Malignant neoplasm of ilium,Solid tumour or leukaemia
44615,B586.00,Secondary malignant neoplasm of ovary,Metastatic cancer
44617,A789600,HIV disease resulting in Burkitt's lymphoma,Lymphoma
44627,B560800,Secondary and unspec malig neop anterior cervical LN,Metastatic cancer
44663,B800900,Carcinoma in situ of hypopharynx,Solid tumour or leukaemia
44674,E002.00,Senile dementia with depressive or paranoid features,Other neurological disorders
44676,J615400,Fatty portal cirrhosis,Liver disease
44690,7918y00,Other specified other open operation on valve of heart,Valvular disease
44693,Eu31600,"[X]Bipolar affective disorder, current episode mixed",Psychoses
44740,G680.00,Sequelae of subarachnoid haemorrhage,Other neurological disorders
44743,N040000,Rheumatoid arthritis of cervical spine,Rheumatoid arthritis and collagen diseases
44765,G653.00,Carotid artery syndrome hemispheric,Other neurological disorders
44767,P6yy.11,Hypoplastic aortic orifice or valve,Valvular disease
44778,BB52000,[M]Adenocarcinoma in tubulovillous adenoma,Solid tumour or leukaemia
44779,C109E12,Type 2 diabetes mellitus with diabetic cataract,Diabetes with end-organ damage
44791,J661900,Sclerosing cholangitis unspecified,Liver disease
44795,F210.00,Neuromyelitis optica,Other neurological disorders
44835,G742900,Embolism and thrombosis of a leg artery NOS,Peripheral vascular disease
44848,8BK0.00,Depression management programme,Depression
44884,B4Ay.00,Malignant neoplasm of other urinary organs,Solid tumour or leukaemia
44908,1B33.00,Paralysis present,Paralysis
44915,B833.00,Carcinoma in situ other and unspecified female genital organ,Solid tumour or leukaemia
44930,BB81800,[M]Papillary serous cystadenocarcinoma,Solid tumour or leukaemia
44931,B562z00,Secondary and unspec malig neop intra-abdominal LN NOS,Metastatic cancer
44982,C10FE00,Type 2 diabetes mellitus with diabetic cataract,Diabetes with end-organ damage
44985,666A.00,Multiple sclerosis review,Other neurological disorders
44991,E243300,Cannabis dependence in remission,Drug abuse
44996,B491.00,Malignant neoplasm of dome of urinary bladder,Solid tumour or leukaemia
45000,G723.00,Aneurysm of leg artery,Peripheral vascular disease
45070,B807000,Carcinoma in situ of duodenum,Solid tumour or leukaemia
45071,B314.00,Malignant neoplasm of connective and soft tissue of abdomen,Solid tumour or leukaemia
45073,H331z00,Intrinsic asthma NOS,Chronic pulmonary disease
45077,B335700,Malignant neoplasm of skin of back,Solid tumour or leukaemia
45089,H31y100,Chronic tracheobronchitis,Chronic pulmonary disease
45139,B323400,Malignant melanoma of external surface of nose,Solid tumour or leukaemia
45154,B516.00,Malignant neoplasm of cerebellum,Solid tumour or leukaemia
45160,ZV56y11,[V]Aftercare involving peritoneal dialysis,Renal disease
45169,Eu10y00,[X]Men & behav dis due to use alcohol: oth men & behav dis,Alcohol abuse
45184,J140.00,Acute gastrojejunal ulcer,Peptic ulcer disease
45217,B807200,Carcinoma in situ of ileum,Solid tumour or leukaemia
45222,B343.00,Malignant neoplasm of lower-inner quadrant of female breast,Solid tumour or leukaemia
45250,ZL22500,Under care of diabetic liaison nurse,Diabetes (uncomplicated)
45256,7915100,Revision of plastic repair of aortic valve,Valvular disease
45260,Byu9000,"[X]Malignant neoplasm of urinary organ, unspecified",Solid tumour or leukaemia
45262,Byu8200,"[X]Malignant neoplasm of male genital organ, unspecified",Solid tumour or leukaemia
45264,B620100,"Nodular lymphoma of lymph nodes of head, face and neck",Lymphoma
45267,B55z.00,Malignant neoplasm of other and ill defined site NOS,Solid tumour or leukaemia
45276,C10E312,Insulin dependent diabetes mellitus with multiple complicat,Diabetes with end-organ damage
45283,791A.00,Remove obstruction from structure adjacent to valve of heart,Valvular disease
45306,B324100,Malignant melanoma of neck,Solid tumour or leukaemia
45307,B2...11,Carcinoma of respiratory tract and intrathoracic organs,Solid tumour or leukaemia
45308,7A27C00,Operation on aneurysm of subclavian artery,Peripheral vascular disease
45384,P76..00,Other peripheral vascular system anomalies,Peripheral vascular disease
45408,B040.00,Malignant neoplasm of anterior portion of floor of mouth,Solid tumour or leukaemia
45427,H35y500,Pituitary snuff-takers' disease,Chronic pulmonary disease
45428,7A48C00,Bypass femoral artery by femoral/femoral art anastomosis NEC,Peripheral vascular disease
45452,P602100,Congenital fusion of pulmonary valve segment,Valvular disease
45458,BB2F.00,"[M]Squamous cell carcinoma, spindle cell type",Solid tumour or leukaemia
45467,C109B00,Non-insulin dependent diabetes mellitus with polyneuropathy,Diabetes with end-organ damage
45474,7A13z00,Emergency replacement of aneurysmal segment of aorta NOS,Peripheral vascular disease
45477,7A13y00,Emergency replacement of aneurysmal segment of aorta OS,Peripheral vascular disease
45490,B430z00,Malignant neoplasm of corpus uteri NOS,Solid tumour or leukaemia
45491,C10z.00,Diabetes mellitus with unspecified complication,Diabetes with end-organ damage
45499,K01x111,Kimmelstiel - Wilson disease,Renal disease
45510,BB2M.00,[M]Lymphoepithelial carcinoma,Solid tumour or leukaemia
45521,G714000,Juxtarenal aortic aneurysm,Peripheral vascular disease
45535,9h6..00,Exception reporting: epilepsy quality indicators,Other neurological disorders
45550,9HC2.00,Substance misuse clinical management plan agreed,Drug abuse
45551,F230z00,Congenital diplegia NOS,Paralysis
45602,F132200,Myoclonic encephalopathy,Other neurological disorders
45608,32K3.00,ECG: Q-T interval prolonged,Cardiac arrythmia
45637,D303300,Deficiency of factor VII or stable factor,Coagulopathy
45645,G741.00,Embolism and thrombosis of the thoracic aorta,Peripheral vascular disease
45667,B501.00,Malignant neoplasm of orbit,Solid tumour or leukaemia
45681,B83..00,Carcinoma in situ of breast and genitourinary system,Solid tumour or leukaemia
45698,D313z11,Essential thrombocytopenia NOS,Coagulopathy
45726,ZRq9.00,Systemic lupus erythematosus disease activity index,Rheumatoid arthritis and collagen diseases
45734,F117.00,Infantile posthaemorrhagic hydrocephalus,Other neurological disorders
45755,B326200,Malignant melanoma of fore-arm,Solid tumour or leukaemia
45757,9Of3.00,Epilepsy monitoring verbal invite,Other neurological disorders
45760,B325z00,"Malignant melanoma of trunk, excluding scrotum, NOS",Solid tumour or leukaemia
45766,Byu1200,"[X]Malignant neoplasm of intestinal tract, part unspecified",Solid tumour or leukaemia
45770,66Yg.00,Chronic obstructive pulmonary disease disturbs sleep,Chronic pulmonary disease
45771,66Yh.00,Chronic obstructive pulmonary disease does not disturb sleep,Chronic pulmonary disease
45773,6A9..00,Atrial fibrillation annual review,Cardiac arrythmia
45777,8CR1.00,Chronic obstructive pulmonary disease clini management plan,Chronic pulmonary disease
45781,G63..00,Precerebral arterial occlusion,Other neurological disorders
45782,H330z00,Extrinsic asthma NOS,Chronic pulmonary disease
45793,B430300,Malignant neoplasm of myometrium of corpus uteri,Solid tumour or leukaemia
45795,F245.00,Monoplegia unspecified,Paralysis
45803,ZV10y16,[V]Personal history of malignant neoplasm of tongue,Solid tumour or leukaemia
45824,B58y900,Secondary malignant neoplasm of tongue,Metastatic cancer
45867,K035.00,Renal medullary necrosis unspecified,Renal disease
45909,B8yy300,Carcinoma in situ of pituitary gland,Solid tumour or leukaemia
45913,C109712,Type 2 diabetes mellitus - poor control,Diabetes (uncomplicated)
45914,C108812,Type 1 diabetes mellitus - poor control,Diabetes (uncomplicated)
45919,C109212,Type 2 diabetes mellitus with neurological complications,Diabetes with end-organ damage
45922,B508.00,"Malignant neoplasm, overlapping lesion of eye and adnexa",Solid tumour or leukaemia
45927,F251y00,Other specified generalised convulsive epilepsy,Other neurological disorders
45929,D211.11,Normocytic anaemia following acute bleed,Blood loss anaemia
45939,AE23.00,Sequelae of viral hepatitis,Liver disease
45986,B041.00,Malignant neoplasm of lateral portion of floor of mouth,Solid tumour or leukaemia
45987,C365.00,Volume depletion,Fluid and electrolyte disorders
45997,E021.00,Drug-induced paranoia or hallucinatory states,Drug abuse
45998,66YT.00,Chronic obstructive pulmonary disease monitoring by doctor,Chronic pulmonary disease
46008,B333z00,Malignant neoplasm skin other and unspec part of face NOS,Solid tumour or leukaemia
46023,J620.00,Liver abscess - excluding amoebic liver abscess,Liver disease
46025,D307.00,Acquired coagulation factor deficiency,Coagulopathy
46026,D303.00,Congenital deficiency of other clotting factors,Coagulopathy
46036,66Yi.00,Multiple COPD emergency hospital admissions,Chronic pulmonary disease
46057,9Oj0.00,Hypothyroidism monitoring first letter,Hypothyroidism
46114,B0z..00,"Malig neop other/ill-defined sites lip, oral cavity, pharynx",Solid tumour or leukaemia
46125,7A45.14,Emergency replacement of aneurysmal popliteal artery,Peripheral vascular disease
46128,F240000,Flaccid tetraplegia,Paralysis
46135,7914211,Edwards prosthetic replacement of valve of heart,Valvular disease
46145,ZV56011,[V]Aftercare involving renal dialysis NOS,Renal disease
46150,C109512,Type 2 diabetes mellitus with gangrene,Diabetes with end-organ damage
46153,B443.00,Malignant neoplasm of parametrium,Solid tumour or leukaemia
46159,B142000,Malignant neoplasm of cloacogenic zone,Solid tumour or leukaemia
46164,7A35000,Percutaneous transluminal angioplasty of coeliac artery NEC,Peripheral vascular disease
46175,F241000,Flaccid paraplegia,Paralysis
46178,G566z00,Other heart block NOS,Cardiac arrythmia
46229,32D2.00,ECG: S wave abnormal,Cardiac arrythmia
46242,K041.00,Acute renal cortical necrosis,Renal disease
46244,E02y300,Drug-induced depressive state,Drug abuse
46255,B327.00,Malignant melanoma of lower limb and hip,Solid tumour or leukaemia
46282,ZV10y11,[V]Personal history of malignant neoplasm of bone,Solid tumour or leukaemia
46290,C108y00,Other specified diabetes mellitus with multiple comps,Diabetes with end-organ damage
46294,G41..00,Chronic pulmonary heart disease,Pulmonary circulation disorders
46301,C10EC00,Type 1 diabetes mellitus with polyneuropathy,Diabetes with end-organ damage
46316,G612.00,Basal nucleus haemorrhage,Other neurological disorders
46345,C045.00,Acquired atrophy of thyroid,Hypothyroidism
46405,H540z00,Pulmonary hypostasis NOS,Chronic pulmonary disease
46409,B563300,Secondary and unspec malig neop pectoral lymph nodes,Metastatic cancer
46415,E111z00,Recurrent manic episode NOS,Psychoses
46423,B933.11,Cystosarcoma phyllodes,Solid tumour or leukaemia
46425,E111100,"Recurrent manic episodes, mild",Psychoses
46434,E114200,"Bipolar affective disorder, currently manic, moderate",Psychoses
46436,N042100,Rheumatoid lung disease,Rheumatoid arthritis and collagen diseases
46438,SP05613,[X] Peritoneal dialysis associated peritonitis,Renal disease
46458,B335600,Malignant neoplasm of skin of perineum,Solid tumour or leukaemia
46460,H42..00,Silica and silicate pneumoconiosis,Chronic pulmonary disease
46469,B827100,Carcinoma in situ of skin of thigh,Solid tumour or leukaemia
46478,B8yy100,Carcinoma in situ of adrenal gland,Solid tumour or leukaemia
46488,Eu01000,[X]Vascular dementia of acute onset,Other neurological disorders
46497,B81y000,Carcinoma in situ of pleura,Solid tumour or leukaemia
46521,9N2d.00,Seen by diabetologist,Diabetes (uncomplicated)
46528,F393.11,Familial hypokalaemic periodic paralysis,Paralysis
46529,9OJ1.00,Attends asthma monitoring,Chronic pulmonary disease
46533,13Y1.00,Diabetic association member,Diabetes (uncomplicated)
46536,B828000,Melanoma in situ of lip,Solid tumour or leukaemia
46546,D307200,Acquired factor II deficiency,Coagulopathy
46548,B071100,Malignant neoplasm of pharyngeal tonsil,Solid tumour or leukaemia
46568,B826.00,Carcinoma in situ of skin of upper limb and shoulder,Solid tumour or leukaemia
46577,66AX.00,Diabetes: shared care in pregnancy - diabetol and obstet,Diabetes (uncomplicated)
46578,H321.00,Panlobular emphysema,Chronic pulmonary disease
46581,BBF4.11,[M]Pleomorphic cell sarcoma,Solid tumour or leukaemia
46594,B808300,Carcinoma in situ of gall bladder,Solid tumour or leukaemia
46603,667W.00,Emergency epilepsy treatment since last appointment,Other neurological disorders
46613,B18y.00,Malignant neoplasm of specified parts of peritoneum,Solid tumour or leukaemia
46622,N045600,Pauciarticular onset juvenile chronic arthritis,Rheumatoid arthritis and collagen diseases
46624,C10C.11,Maturity onset diabetes in youth,Diabetes (uncomplicated)
46628,H501500,Pyopneumothorax,Chronic pulmonary disease
46630,9Oj1.00,Hypothyroidism monitoring second letter,Hypothyroidism
46640,9Oj2.00,Hypothyroidism monitoring third letter,Hypothyroidism
46647,760F400,Rigid oesophagoscopic banding of oesophageal varices,Liver disease
46672,388D.00,New York Heart Assoc classification heart failure symptoms,Congestive heart failure
46677,Z191100,Alcohol withdrawal regime,Alcohol abuse
46682,42Ql.00,Factor VIII von Willebrands Factor ratio,Coagulopathy
46726,D311000,Hereditary haemorrhagic thrombasthenia,Coagulopathy
46728,B064.00,Malignant neoplasm of anterior epiglottis,Solid tumour or leukaemia
46741,BBZC.00,[M]Ameloblastic odontosarcoma,Solid tumour or leukaemia
46754,D313.11,Evan's syndrome,Coagulopathy
46761,BB5f600,[M]Papillary and follicular adenocarcinoma,Solid tumour or leukaemia
46762,Eu00111,[X]Alzheimer's disease type 1,Other neurological disorders
46771,BB5D800,"[M]Hepatocellular carcinoma, fibrolamellar",Solid tumour or leukaemia
46779,ZV10417,[V]Personal history of malignant neoplasm of uterine body,Solid tumour or leukaemia
46789,B515000,Malignant neoplasm of choroid plexus,Solid tumour or leukaemia
46790,P10..00,Spina bifida with hydrocephalus,Other neurological disorders
46792,B512.00,Malignant neoplasm of temporal lobe,Solid tumour or leukaemia
46796,U609211,[X] Adverse reaction to antidepressant,Depression
46803,C352.00,Disorders of magnesium metabolism,Fluid and electrolyte disorders
46825,P6W..00,Congenital malformation of aortic and mitral valves unsp,Valvular disease
46836,7913,Plastic repair of pulmonary valve,Valvular disease
46850,C108811,Type I diabetes mellitus - poor control,Diabetes (uncomplicated)
46877,BBgL.00,"[M]Malignant lymphoma, small lymphocytic NOS",Lymphoma
46905,B545200,Malignant neoplasm of coccygeal body,Solid tumour or leukaemia
46912,14AM.00,H/O: Heart failure in last year,Congestive heart failure
46917,C10FD00,Type 2 diabetes mellitus with hypoglycaemic coma,Diabetes (uncomplicated)
46931,BBg4.00,"[M]Malignant lymphoma, stem cell type",Lymphoma
46937,F365.00,Neuropathy in association with hereditary ataxia,Other neurological disorders
46939,B302000,Malignant neoplasm of cervical vertebra,Solid tumour or leukaemia
46962,E258.00,Nondependent antidepressant type drug abuse,Drug abuse
46963,C108000,Insulin-dependent diabetes mellitus with renal complications,Diabetes with end-organ damage
46967,BBl..00,[M]Mycosis fungoides,Lymphoma
46977,H35z.00,Allergic alveolitis and pneumonitis NOS,Chronic pulmonary disease
47009,Eu33300,[X]Recurrent depress disorder cur epi severe with psyc symp,Psychoses
47011,8Hj0.00,Referral to diabetes structured education programme,Diabetes (uncomplicated)
47014,7912.11,Replacement of tricuspid valve,Valvular disease
47032,8CS0.00,Diabetes care plan agreed,Diabetes (uncomplicated)
47058,8Hg4.00,Discharged from care of diabetes specialist nurse,Diabetes (uncomplicated)
47094,B323200,Malignant melanoma of eyebrow,Solid tumour or leukaemia
47097,88A8.11,Fibrinolysis,Coagulopathy
47123,9k14.00,Alcohol counselling by other agencies,Alcohol abuse
47142,H464.00,Chronic respiratory conditions due to chemical fumes,Chronic pulmonary disease
